                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72479,                 1.5962,                 1.1728,                0.90504,                0.80041,                0.87985,                0.77668,                0.53004,                0.73839,                0.91022,               0.070224,              0.0033085,              0.0033085
                      1,                0.49674,                0.48413,                0.97766,                0.88139,                0.88373,                0.91316,                0.80232,                0.49919,                0.59872,                0.89221,               0.040092,              0.0065103,              0.0065103
                      2,                0.54616,                0.52782,                 1.0036,                0.93228,                0.83764,                0.90451,                0.78361,                0.53008,                0.72097,                0.90361,              0.0098289,              0.0095801,              0.0095801
                      3,                0.59203,                0.57509,                  1.018,                 0.8994,                 0.8273,                 0.9043,                0.78098,                0.57513,                0.65137,                0.94642,               0.009406,               0.009406,               0.009406
                      4,                0.61769,                   0.56,                 1.0304,                0.91176,                0.87073,                0.91998,                0.82061,                0.50986,                0.59078,                0.90087,               0.009406,               0.009406,               0.009406
                      5,                0.58377,                0.50372,                 1.0137,                0.95627,                0.85729,                0.91538,                0.81548,                0.50817,                0.55174,                0.89633,               0.009208,               0.009208,               0.009208
                      6,                0.57456,                0.50082,                 1.0075,                0.91646,                0.86222,                 0.9241,                0.80788,                   0.53,                0.54783,                0.92211,                0.00901,                0.00901,                0.00901
                      7,                0.54647,                0.44933,                0.99008,                0.94569,                0.84633,                0.91618,                0.81938,                0.51713,                0.55421,                0.90495,               0.008812,               0.008812,               0.008812
                      8,                0.54123,                0.44669,                0.98948,                 0.9534,                0.88859,                0.94783,                0.84943,                0.48196,                 0.4636,                  0.879,               0.008614,               0.008614,               0.008614
                      9,                0.53358,                0.42506,                0.98068,                0.90674,                0.88314,                0.94277,                0.84771,                0.47372,                0.45623,                0.88868,               0.008416,               0.008416,               0.008416
                     10,                0.52049,                0.42405,                0.98083,                0.94228,                0.88831,                0.95114,                0.86373,                 0.4547,                0.43282,                0.87082,               0.008218,               0.008218,               0.008218
                     11,                 0.5042,                0.40911,                0.97199,                0.93749,                0.88397,                0.94112,                0.85134,                0.45483,                0.43889,                0.87473,                0.00802,                0.00802,                0.00802
                     12,                0.49128,                0.40568,                0.96158,                0.94479,                0.89452,                0.95622,                0.88173,                0.42516,                0.40749,                0.86078,               0.007822,               0.007822,               0.007822
                     13,                0.48668,                0.39184,                0.95597,                0.95967,                0.88578,                 0.9553,                0.87961,                 0.4129,                0.40148,                0.86058,               0.007624,               0.007624,               0.007624
                     14,                 0.4909,                0.38501,                0.96339,                0.95588,                 0.8961,                0.95473,                0.88388,                0.40995,                0.38229,                0.85331,               0.007426,               0.007426,               0.007426
                     15,                 0.4656,                0.36893,                0.95526,                0.94588,                0.90693,                0.95594,                0.87819,                0.42556,                0.41069,                0.85918,               0.007228,               0.007228,               0.007228
                     16,                 0.4532,                0.36282,                0.95099,                0.95134,                0.90693,                0.95893,                0.88146,                0.41698,                0.39888,                0.85452,                0.00703,                0.00703,                0.00703
                     17,                0.44883,                0.36269,                0.94147,                0.95875,                 0.8894,                0.95463,                0.89013,                0.40055,                0.38977,                0.85667,               0.006832,               0.006832,               0.006832
                     18,                0.44868,                0.35008,                0.94909,                0.94871,                  0.909,                0.95839,                 0.8969,                0.39536,                0.39703,                0.84388,               0.006634,               0.006634,               0.006634
